team,n_players,fbref_coverage,squad_avg_age,squad_avg_caps,squad_total_goals_intl,avg_goals_per90,sum_goals_per90,top3_goals_per90,avg_assists_per90,sum_assists_per90,top3_assists_per90,avg_goals_scored,sum_goals_scored,top3_goals_scored,avg_assists,sum_assists,top3_assists,avg_minutes_played,sum_minutes_played,top3_minutes_played,avg_matches_played,sum_matches_played,top3_matches_played,avg_yellow_cards,sum_yellow_cards,top3_yellow_cards,avg_red_cards,sum_red_cards,top3_red_cards,avg_shots_per90,sum_shots_per90,top3_shots_per90,avg_shots_on_target,sum_shots_on_target,top3_shots_on_target,fifa_rank,fifa_points
Czech Republic,27,0.3,27.555555555555557,27.77777777777778,103,0.21250000000000002,1.7000000000000002,0.5166666666666667,0.07375000000000001,0.5900000000000001,0.18333333333333335,4.5,36.0,10.666666666666666,1.875,15.0,4.666666666666667,1699.25,13594.0,2539.6666666666665,23.5,188.0,32.666666666666664,2.875,23.0,4.666666666666667,0.25,2.0,0.6666666666666666,25.125,201.0,47.333333333333336,10.75,86.0,22.0,,
Mexico,26,0.19,27.923076923076923,46.73076923076923,117,0.11400000000000002,0.5700000000000001,0.19000000000000003,0.06799999999999999,0.33999999999999997,0.11333333333333333,2.2,11.0,3.6666666666666665,1.0,5.0,1.6666666666666667,1515.6,7578.0,2098.6666666666665,21.8,109.0,29.333333333333332,2.2,11.0,3.0,0.0,0.0,0.0,26.6,133.0,41.333333333333336,7.0,35.0,11.0,15.0,1510.0
South Africa,26,0.04,26.807692307692307,18.576923076923077,61,0.2,0.2,0.2,0.13,0.13,0.13,3.0,3.0,3.0,2.0,2.0,2.0,1371.0,1371.0,1371.0,26.0,26.0,26.0,4.0,4.0,4.0,0.0,0.0,0.0,20.0,20.0,20.0,6.0,6.0,6.0,43.0,1121.0
South Korea,26,0.19,28.153846153846153,36.84615384615385,143,0.138,0.6900000000000001,0.17,0.11200000000000002,0.56,0.14666666666666667,2.6,13.0,3.3333333333333335,2.0,10.0,2.6666666666666665,1667.2,8336.0,1790.3333333333333,26.4,132.0,27.0,3.0,15.0,4.0,0.4,2.0,0.6666666666666666,24.2,121.0,32.333333333333336,9.0,45.0,12.0,21.0,1423.0
Bosnia and Herzegovina,26,0.19,26.46153846153846,22.96153846153846,93,0.242,1.21,0.4033333333333333,0.057999999999999996,0.29,0.09666666666666666,5.0,25.0,8.333333333333334,1.2,6.0,2.0,1679.0,8395.0,2313.0,24.2,121.0,30.333333333333332,2.8,14.0,4.333333333333333,0.0,0.0,0.0,23.0,115.0,37.333333333333336,10.0,50.0,16.666666666666668,34.0,1254.0
Canada,26,0.27,27.03846153846154,36.65384615384615,133,0.17428571428571424,1.2199999999999998,0.28333333333333327,0.13714285714285715,0.96,0.3033333333333333,3.142857142857143,22.0,6.333333333333333,1.4285714285714286,10.0,3.0,1138.0,7966.0,2112.3333333333335,21.142857142857142,148.0,34.666666666666664,2.2857142857142856,16.0,4.666666666666667,0.14285714285714285,1.0,0.3333333333333333,15.857142857142858,111.0,30.333333333333332,6.428571428571429,45.0,12.333333333333334,24.0,1387.0
Qatar,26,0.0,29.576923076923077,54.46153846153846,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,1298.0
Switzerland,28,0.79,28.321428571428573,44.32142857142857,129,0.0959090909090909,2.11,0.37333333333333335,0.07545454545454545,1.6600000000000001,0.17333333333333334,2.0454545454545454,45.0,7.666666666666667,1.6818181818181819,37.0,4.666666666666667,1907.0454545454545,41955.0,2976.6666666666665,25.454545454545453,560.0,34.333333333333336,3.590909090909091,79.0,7.666666666666667,0.22727272727272727,5.0,1.3333333333333333,17.136363636363637,377.0,43.333333333333336,5.0,110.0,15.333333333333334,20.0,1458.0
Brazil,27,0.48,29.074074074074073,34.55555555555556,156,0.28153846153846157,3.6600000000000006,0.62,0.1346153846153846,1.75,0.35000000000000003,6.230769230769231,81.0,15.0,2.3846153846153846,31.0,5.333333333333333,1788.6923076923076,23253.0,2868.0,23.692307692307693,308.0,35.0,4.076923076923077,53.0,8.333333333333334,0.3076923076923077,4.0,1.0,37.92307692307692,493.0,79.66666666666667,16.0,208.0,34.666666666666664,3.0,1764.0
Haiti,26,0.15,27.53846153846154,24.0,115,0.14750000000000002,0.5900000000000001,0.19666666666666668,0.05,0.2,0.06666666666666667,2.0,8.0,2.6666666666666665,1.0,4.0,1.3333333333333333,1493.75,5975.0,1603.3333333333333,28.75,115.0,29.666666666666668,4.75,19.0,6.0,0.25,1.0,0.3333333333333333,23.75,95.0,28.666666666666668,9.25,37.0,12.0,42.0,1132.0
Morocco,26,0.54,26.653846153846153,27.0,98,0.10428571428571429,1.46,0.26666666666666666,0.15,2.1,0.38999999999999996,1.5,21.0,4.333333333333333,1.8571428571428572,26.0,4.666666666666667,1269.642857142857,17775.0,2069.6666666666665,21.5,301.0,31.0,3.2142857142857144,45.0,6.333333333333333,0.14285714285714285,2.0,0.6666666666666666,16.642857142857142,233.0,40.0,5.857142857142857,82.0,14.666666666666666,11.0,1565.0
Morocco,26,0.54,26.653846153846153,27.0,98,0.10428571428571429,1.46,0.26666666666666666,0.15,2.1,0.38999999999999996,1.5,21.0,4.333333333333333,1.8571428571428572,26.0,4.666666666666667,1269.642857142857,17775.0,2069.6666666666665,21.5,301.0,31.0,3.2142857142857144,45.0,6.333333333333333,0.14285714285714285,2.0,0.6666666666666666,16.642857142857142,233.0,40.0,5.857142857142857,82.0,14.666666666666666,46.0,1087.0
Scotland,26,0.42,29.307692307692307,37.42307692307692,98,0.10363636363636365,1.1400000000000001,0.2733333333333333,0.10636363636363635,1.17,0.3566666666666667,2.272727272727273,25.0,7.0,0.9090909090909091,10.0,3.0,1063.4545454545455,11698.0,2273.6666666666665,19.272727272727273,212.0,32.0,1.5454545454545454,17.0,5.0,0.18181818181818182,2.0,0.6666666666666666,21.818181818181817,240.0,60.666666666666664,7.2727272727272725,80.0,21.333333333333332,35.0,1243.0
