group,stage,home_team,away_team,home_fbref_coverage,away_fbref_coverage,home_squad_avg_age,away_squad_avg_age,home_squad_avg_caps,away_squad_avg_caps,home_squad_total_goals_intl,away_squad_total_goals_intl,home_avg_goals_per90,away_avg_goals_per90,home_sum_goals_per90,away_sum_goals_per90,home_top3_goals_per90,away_top3_goals_per90,home_avg_assists_per90,away_avg_assists_per90,home_sum_assists_per90,away_sum_assists_per90,home_top3_assists_per90,away_top3_assists_per90,home_avg_goals_scored,away_avg_goals_scored,home_sum_goals_scored,away_sum_goals_scored,home_top3_goals_scored,away_top3_goals_scored,home_avg_assists,away_avg_assists,home_sum_assists,away_sum_assists,home_top3_assists,away_top3_assists,home_avg_minutes_played,away_avg_minutes_played,home_sum_minutes_played,away_sum_minutes_played,home_top3_minutes_played,away_top3_minutes_played,home_avg_matches_played,away_avg_matches_played,home_sum_matches_played,away_sum_matches_played,home_top3_matches_played,away_top3_matches_played,home_avg_yellow_cards,away_avg_yellow_cards,home_sum_yellow_cards,away_sum_yellow_cards,home_top3_yellow_cards,away_top3_yellow_cards,home_avg_red_cards,away_avg_red_cards,home_sum_red_cards,away_sum_red_cards,home_top3_red_cards,away_top3_red_cards,home_avg_shots_per90,away_avg_shots_per90,home_sum_shots_per90,away_sum_shots_per90,home_top3_shots_per90,away_top3_shots_per90,home_avg_shots_on_target,away_avg_shots_on_target,home_sum_shots_on_target,away_sum_shots_on_target,home_top3_shots_on_target,away_top3_shots_on_target,home_fifa_rank,away_fifa_rank,home_fifa_points,away_fifa_points,fifa_rank_diff
A,Group Stage,Mexico,South Africa,0.19,0.04,27.923076923076923,26.807692307692307,46.73076923076923,18.576923076923077,117,61,0.11400000000000002,0.2,0.5700000000000001,0.2,0.19000000000000003,0.2,0.06799999999999999,0.13,0.33999999999999997,0.13,0.11333333333333333,0.13,2.2,3.0,11.0,3.0,3.6666666666666665,3.0,1.0,2.0,5.0,2.0,1.6666666666666667,2.0,1515.6,1371.0,7578.0,1371.0,2098.6666666666665,1371.0,21.8,26.0,109.0,26.0,29.333333333333332,26.0,2.2,4.0,11.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,20.0,133.0,20.0,41.333333333333336,20.0,7.0,6.0,35.0,6.0,11.0,6.0,15.0,43.0,1510.0,1121.0,-28.0
A,Group Stage,Mexico,South Korea,0.19,0.19,27.923076923076923,28.153846153846153,46.73076923076923,36.84615384615385,117,143,0.11400000000000002,0.138,0.5700000000000001,0.6900000000000001,0.19000000000000003,0.17,0.06799999999999999,0.11200000000000002,0.33999999999999997,0.56,0.11333333333333333,0.14666666666666667,2.2,2.6,11.0,13.0,3.6666666666666665,3.3333333333333335,1.0,2.0,5.0,10.0,1.6666666666666667,2.6666666666666665,1515.6,1667.2,7578.0,8336.0,2098.6666666666665,1790.3333333333333,21.8,26.4,109.0,132.0,29.333333333333332,27.0,2.2,3.0,11.0,15.0,3.0,4.0,0.0,0.4,0.0,2.0,0.0,0.6666666666666666,26.6,24.2,133.0,121.0,41.333333333333336,32.333333333333336,7.0,9.0,35.0,45.0,11.0,12.0,15.0,21.0,1510.0,1423.0,-6.0
A,Group Stage,Mexico,Czechia,0.19,,27.923076923076923,,46.73076923076923,,117,,0.11400000000000002,,0.5700000000000001,,0.19000000000000003,,0.06799999999999999,,0.33999999999999997,,0.11333333333333333,,2.2,,11.0,,3.6666666666666665,,1.0,,5.0,,1.6666666666666667,,1515.6,,7578.0,,2098.6666666666665,,21.8,,109.0,,29.333333333333332,,2.2,,11.0,,3.0,,0.0,,0.0,,0.0,,26.6,,133.0,,41.333333333333336,,7.0,,35.0,,11.0,,15.0,32.0,1510.0,,-17.0
A,Group Stage,South Africa,South Korea,0.04,0.19,26.807692307692307,28.153846153846153,18.576923076923077,36.84615384615385,61,143,0.2,0.138,0.2,0.6900000000000001,0.2,0.17,0.13,0.11200000000000002,0.13,0.56,0.13,0.14666666666666667,3.0,2.6,3.0,13.0,3.0,3.3333333333333335,2.0,2.0,2.0,10.0,2.0,2.6666666666666665,1371.0,1667.2,1371.0,8336.0,1371.0,1790.3333333333333,26.0,26.4,26.0,132.0,26.0,27.0,4.0,3.0,4.0,15.0,4.0,4.0,0.0,0.4,0.0,2.0,0.0,0.6666666666666666,20.0,24.2,20.0,121.0,20.0,32.333333333333336,6.0,9.0,6.0,45.0,6.0,12.0,43.0,21.0,1121.0,1423.0,22.0
A,Group Stage,South Africa,Czechia,0.04,,26.807692307692307,,18.576923076923077,,61,,0.2,,0.2,,0.2,,0.13,,0.13,,0.13,,3.0,,3.0,,3.0,,2.0,,2.0,,2.0,,1371.0,,1371.0,,1371.0,,26.0,,26.0,,26.0,,4.0,,4.0,,4.0,,0.0,,0.0,,0.0,,20.0,,20.0,,20.0,,6.0,,6.0,,6.0,,43.0,32.0,1121.0,,11.0
A,Group Stage,South Korea,Czechia,0.19,,28.153846153846153,,36.84615384615385,,143,,0.138,,0.6900000000000001,,0.17,,0.11200000000000002,,0.56,,0.14666666666666667,,2.6,,13.0,,3.3333333333333335,,2.0,,10.0,,2.6666666666666665,,1667.2,,8336.0,,1790.3333333333333,,26.4,,132.0,,27.0,,3.0,,15.0,,4.0,,0.4,,2.0,,0.6666666666666666,,24.2,,121.0,,32.333333333333336,,9.0,,45.0,,12.0,,21.0,32.0,1423.0,,-11.0
B,Group Stage,USA,Paraguay,,0.15,,28.96153846153846,,26.53846153846154,,53,,0.12,,0.48,,0.15,,0.11499999999999999,,0.45999999999999996,,0.14333333333333334,,2.5,,10.0,,3.0,,2.25,,9.0,,2.6666666666666665,,1936.5,,7746.0,,2267.0,,29.25,,117.0,,30.666666666666668,,4.75,,19.0,,5.666666666666667,,0.0,,0.0,,0.0,,34.75,,139.0,,42.333333333333336,,12.25,,49.0,,15.0,12.0,31.0,,1289.0,-19.0
B,Group Stage,USA,Qatar,,0.0,,29.576923076923077,,54.46153846153846,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,30.0,,1298.0,-18.0
B,Group Stage,USA,Switzerland,,0.79,,28.321428571428573,,44.32142857142857,,129,,0.0959090909090909,,2.11,,0.37333333333333335,,0.07545454545454545,,1.6600000000000001,,0.17333333333333334,,2.0454545454545454,,45.0,,7.666666666666667,,1.6818181818181819,,37.0,,4.666666666666667,,1907.0454545454545,,41955.0,,2976.6666666666665,,25.454545454545453,,560.0,,34.333333333333336,,3.590909090909091,,79.0,,7.666666666666667,,0.22727272727272727,,5.0,,1.3333333333333333,,17.136363636363637,,377.0,,43.333333333333336,,5.0,,110.0,,15.333333333333334,12.0,20.0,,1458.0,-8.0
B,Group Stage,Paraguay,Qatar,0.15,0.0,28.96153846153846,29.576923076923077,26.53846153846154,54.46153846153846,53,208,0.12,,0.48,,0.15,,0.11499999999999999,,0.45999999999999996,,0.14333333333333334,,2.5,,10.0,,3.0,,2.25,,9.0,,2.6666666666666665,,1936.5,,7746.0,,2267.0,,29.25,,117.0,,30.666666666666668,,4.75,,19.0,,5.666666666666667,,0.0,,0.0,,0.0,,34.75,,139.0,,42.333333333333336,,12.25,,49.0,,15.0,,31.0,30.0,1289.0,1298.0,1.0
B,Group Stage,Paraguay,Switzerland,0.15,0.79,28.96153846153846,28.321428571428573,26.53846153846154,44.32142857142857,53,129,0.12,0.0959090909090909,0.48,2.11,0.15,0.37333333333333335,0.11499999999999999,0.07545454545454545,0.45999999999999996,1.6600000000000001,0.14333333333333334,0.17333333333333334,2.5,2.0454545454545454,10.0,45.0,3.0,7.666666666666667,2.25,1.6818181818181819,9.0,37.0,2.6666666666666665,4.666666666666667,1936.5,1907.0454545454545,7746.0,41955.0,2267.0,2976.6666666666665,29.25,25.454545454545453,117.0,560.0,30.666666666666668,34.333333333333336,4.75,3.590909090909091,19.0,79.0,5.666666666666667,7.666666666666667,0.0,0.22727272727272727,0.0,5.0,0.0,1.3333333333333333,34.75,17.136363636363637,139.0,377.0,42.333333333333336,43.333333333333336,12.25,5.0,49.0,110.0,15.0,15.333333333333334,31.0,20.0,1289.0,1458.0,11.0
B,Group Stage,Qatar,Switzerland,0.0,0.79,29.576923076923077,28.321428571428573,54.46153846153846,44.32142857142857,208,129,,0.0959090909090909,,2.11,,0.37333333333333335,,0.07545454545454545,,1.6600000000000001,,0.17333333333333334,,2.0454545454545454,,45.0,,7.666666666666667,,1.6818181818181819,,37.0,,4.666666666666667,,1907.0454545454545,,41955.0,,2976.6666666666665,,25.454545454545453,,560.0,,34.333333333333336,,3.590909090909091,,79.0,,7.666666666666667,,0.22727272727272727,,5.0,,1.3333333333333333,,17.136363636363637,,377.0,,43.333333333333336,,5.0,,110.0,,15.333333333333334,30.0,20.0,1298.0,1458.0,10.0
C,Group Stage,Canada,Bosnia and Herzegovina,0.27,0.19,27.03846153846154,26.46153846153846,36.65384615384615,22.96153846153846,133,93,0.17428571428571424,0.242,1.2199999999999998,1.21,0.28333333333333327,0.4033333333333333,0.13714285714285715,0.057999999999999996,0.96,0.29,0.3033333333333333,0.09666666666666666,3.142857142857143,5.0,22.0,25.0,6.333333333333333,8.333333333333334,1.4285714285714286,1.2,10.0,6.0,3.0,2.0,1138.0,1679.0,7966.0,8395.0,2112.3333333333335,2313.0,21.142857142857142,24.2,148.0,121.0,34.666666666666664,30.333333333333332,2.2857142857142856,2.8,16.0,14.0,4.666666666666667,4.333333333333333,0.14285714285714285,0.0,1.0,0.0,0.3333333333333333,0.0,15.857142857142858,23.0,111.0,115.0,30.333333333333332,37.333333333333336,6.428571428571429,10.0,45.0,50.0,12.333333333333334,16.666666666666668,24.0,34.0,1387.0,1254.0,-10.0
C,Group Stage,Canada,?,0.27,,27.03846153846154,,36.65384615384615,,133,,0.17428571428571424,,1.2199999999999998,,0.28333333333333327,,0.13714285714285715,,0.96,,0.3033333333333333,,3.142857142857143,,22.0,,6.333333333333333,,1.4285714285714286,,10.0,,3.0,,1138.0,,7966.0,,2112.3333333333335,,21.142857142857142,,148.0,,34.666666666666664,,2.2857142857142856,,16.0,,4.666666666666667,,0.14285714285714285,,1.0,,0.3333333333333333,,15.857142857142858,,111.0,,30.333333333333332,,6.428571428571429,,45.0,,12.333333333333334,,24.0,,1387.0,,
C,Group Stage,Canada,?,0.27,,27.03846153846154,,36.65384615384615,,133,,0.17428571428571424,,1.2199999999999998,,0.28333333333333327,,0.13714285714285715,,0.96,,0.3033333333333333,,3.142857142857143,,22.0,,6.333333333333333,,1.4285714285714286,,10.0,,3.0,,1138.0,,7966.0,,2112.3333333333335,,21.142857142857142,,148.0,,34.666666666666664,,2.2857142857142856,,16.0,,4.666666666666667,,0.14285714285714285,,1.0,,0.3333333333333333,,15.857142857142858,,111.0,,30.333333333333332,,6.428571428571429,,45.0,,12.333333333333334,,24.0,,1387.0,,
C,Group Stage,Bosnia and Herzegovina,?,0.19,,26.46153846153846,,22.96153846153846,,93,,0.242,,1.21,,0.4033333333333333,,0.057999999999999996,,0.29,,0.09666666666666666,,5.0,,25.0,,8.333333333333334,,1.2,,6.0,,2.0,,1679.0,,8395.0,,2313.0,,24.2,,121.0,,30.333333333333332,,2.8,,14.0,,4.333333333333333,,0.0,,0.0,,0.0,,23.0,,115.0,,37.333333333333336,,10.0,,50.0,,16.666666666666668,,34.0,,1254.0,,
C,Group Stage,Bosnia and Herzegovina,?,0.19,,26.46153846153846,,22.96153846153846,,93,,0.242,,1.21,,0.4033333333333333,,0.057999999999999996,,0.29,,0.09666666666666666,,5.0,,25.0,,8.333333333333334,,1.2,,6.0,,2.0,,1679.0,,8395.0,,2313.0,,24.2,,121.0,,30.333333333333332,,2.8,,14.0,,4.333333333333333,,0.0,,0.0,,0.0,,23.0,,115.0,,37.333333333333336,,10.0,,50.0,,16.666666666666668,,34.0,,1254.0,,
C,Group Stage,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
