fifa_rank,team,fifa_points
1,Spain,1840
2,France,1789
3,Brazil,1764
4,Argentina,1761
5,England,1680
6,Belgium,1647
7,Portugal,1638
8,Netherlands,1614
9,Germany,1609
10,Italy,1601
11,Morocco,1565
12,USA,1549
13,Croatia,1527
14,Japan,1518
15,Mexico,1510
16,Colombia,1505
17,Senegal,1498
18,Uruguay,1487
19,Denmark,1465
20,Switzerland,1458
21,South Korea,1423
22,Australia,1415
23,Ecuador,1398
24,Canada,1387
25,Tunisia,1376
26,Turkey,1364
27,Saudi Arabia,1341
28,Ivory Coast,1327
29,Sweden,1318
30,Qatar,1298
31,Paraguay,1289
32,Czechia,1276
33,Iran,1265
34,Bosnia and Herzegovina,1254
35,Scotland,1243
36,Ukraine,1231
37,New Zealand,1198
38,Cape Verde,1187
39,Jordan,1176
40,Iraq,1165
41,Uzbekistan,1154
42,Haiti,1132
43,South Africa,1121
44,DR Congo,1109
45,Egypt,1098
46,Morocco,1087
47,Curacao,956
48,Palestine,935
