date,time_local,group,home_team,away_team,home_goals,away_goals,status,stadium
2026-06-11,1:00 p.m.UTC−6,A,Mexico,South Africa,2.0,0.0,finished,"Estadio Azteca,Mexico City"
2026-06-11,8:00 p.m.UTC−6,A,South Korea,Czech Republic,2.0,1.0,finished,"Estadio Akron,Zapopan"
2026-06-12,3:00 p.m.UTC−4,B,Canada,Bosnia and Herzegovina,1.0,1.0,finished,"BMO Field,Toronto"
2026-06-12,6:00 p.m.,D,United States,Paraguay,4.0,1.0,finished,"SoFi Stadium,Inglewood"
2026-06-13,12:00 p.m.UTC−7,B,Qatar,Switzerland,1.0,1.0,finished,"Levi's Stadium,Santa Clara"
2026-06-13,9:00 p.m.,D,Australia,Turkey,2.0,0.0,finished,"BC Place,Vancouver"
2026-06-13,6:00 p.m.,C,Brazil,Morocco,1.0,1.0,finished,"MetLife Stadium,East Rutherford"
2026-06-13,9:00 p.m.,C,Haiti,Scotland,0.0,1.0,finished,"Gillette Stadium,Foxborough"
2026-06-14,8:00 p.m.UTC−6,F,Sweden,Tunisia,,,scheduled,"Estadio BBVA,Guadalupe"
2026-06-14,3:00 p.m.UTC−5,F,Netherlands,Japan,,,scheduled,"AT&T Stadium,Arlington"
2026-06-14,7:00 p.m.UTC−4,E,Ivory Coast,Ecuador,,,scheduled,"Lincoln Financial Field,Philadelphia"
2026-06-14,12:00 p.m.UTC−5,E,Germany,Curaçao,1.0,1.0,finished,"NRG Stadium,Houston"
2026-06-15,6:00 p.m.UTC−4,H,Saudi Arabia,Uruguay,,,scheduled,"Hard Rock Stadium,Miami Gardens"
2026-06-15,12:00 p.m.UTC−4,H,Spain,Cape Verde,,,scheduled,"Mercedes-Benz Stadium,Atlanta"
2026-06-15,6:00 p.m.,G,Iran,New Zealand,,,scheduled,"SoFi Stadium,Inglewood"
2026-06-15,12:00 p.m.,G,Belgium,Egypt,,,scheduled,"Lumen Field,Seattle"
2026-06-16,6:00 p.m.,I,Iraq,Norway,,,scheduled,"Gillette Stadium,Foxborough"
2026-06-16,9:00 p.m.UTC−7,J,Austria,Jordan,,,scheduled,"Levi's Stadium,Santa Clara"
2026-06-16,3:00 p.m.,I,France,Senegal,,,scheduled,"MetLife Stadium,East Rutherford"
2026-06-16,8:00 p.m.UTC−5,J,Argentina,Algeria,,,scheduled,"Arrowhead Stadium,Kansas City"
2026-06-17,12:00 p.m.UTC−5,K,Portugal,DR Congo,,,scheduled,"NRG Stadium,Houston"
2026-06-17,8:00 p.m.UTC−6,K,Uzbekistan,Colombia,,,scheduled,"Estadio Azteca,Mexico City"
2026-06-17,3:00 p.m.UTC−5,L,England,Croatia,,,scheduled,"AT&T Stadium,Arlington"
2026-06-17,7:00 p.m.UTC−4,L,Ghana,Panama,,,scheduled,"BMO Field,Toronto"
2026-06-18,3:00 p.m.UTC−7,B,Canada,Qatar,,,scheduled,"BC Place,Vancouver"
2026-06-18,12:00 p.m.UTC−4,A,Czech Republic,South Africa,,,scheduled,"Mercedes-Benz Stadium,Atlanta"
2026-06-18,7:00 p.m.UTC−6,A,Mexico,South Korea,,,scheduled,"Estadio Akron,Zapopan"
2026-06-18,12:00 p.m.UTC−7,B,Switzerland,Bosnia and Herzegovina,,,scheduled,"SoFi Stadium,Inglewood"
2026-06-19,12:00 p.m.,D,United States,Australia,,,scheduled,"Lumen Field,Seattle"
2026-06-19,6:00 p.m.,C,Scotland,Morocco,,,scheduled,"Gillette Stadium,Foxborough"
2026-06-19,8:00 p.m.,D,Turkey,Paraguay,,,scheduled,"Levi's Stadium,Santa Clara"
2026-06-19,8:30 p.m.,C,Brazil,Haiti,,,scheduled,"Lincoln Financial Field,Philadelphia"
2026-06-20,7:00 p.m.UTC−5,E,Ecuador,Curaçao,,,scheduled,"Arrowhead Stadium,Kansas City"
2026-06-20,4:00 p.m.UTC−4,E,Germany,Ivory Coast,,,scheduled,"BMO Field,Toronto"
2026-06-20,12:00 p.m.UTC−5,F,Netherlands,Sweden,,,scheduled,"NRG Stadium,Houston"
2026-06-20,10:00 p.m.UTC−6,F,Tunisia,Japan,,,scheduled,"Estadio BBVA,Guadalupe"
2026-06-21,12:00 p.m.,G,Belgium,Iran,,,scheduled,"SoFi Stadium,Inglewood"
